Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
46,Somerset Island,"24,786[7]","9,570",Canada (Nunavut)
47,Kotelny Island,"24,000","9,300",Russia (Sakha Republic)
48,Sardinia,"23,949","9,247",Italy (Sardinia)
49,Bananal,"20,000[9]","7,398",Brazil (Tocantins) (world's 2nd largest fluvial island)
50,Shikoku,"18,545","7,160",Japan (Shikoku region)
51,Halmahera,"18,040","6,970",Indonesia (North Maluku)
52,Seram Island,"17,454","6,739",Indonesia (Maluku)
53,New Caledonia (Grande Terre),"16,648","6,428","New Caledonia, special collectivity of  France"
54,Bathurst Island,"16,042[7]","6,194",Canada (Nunavut)
55,Prince Patrick Island,"15,848[7]","6,119",Canada (Northwest Territories)
56,Thurston Island,"15,700[9]","6,100",None (unclaimed island of Antarctica)
57,Nordaustlandet,"14,467[10]","5,586",Norway (Svalbard)
58,Sumbawa,"14,386","5,554",Indonesia (West Nusa Tenggara)
59,October Revolution Island (Oktyabrskoy Revolyutsii),"14,204","5,484",Russia (Krasnoyarsk Krai)
60,Flores,"14,154","5,465",Indonesia (East Nusa Tenggara)
61,King William Island,"13,111[7]","5,062",Canada (Nunavut)
62,Negros,"13,075","5,048",Philippines (Western Visayas and Central Visayas)
63,Samar,"12,849","4,961",Philippines (Eastern Visayas)
64,Palawan,"12,189","4,706",Philippines (MIMAROPA)
65,Panay,"12,011","4,637",Philippines (Western Visayas)
66,Yos Sudarso (Dolak),"11,742","4,534",Indonesia (Papua)
67,Bangka,"11,413","4,407",Indonesia (Bangka-Belitung Islands)
68,Ellef Ringnes Island,"11,295[7]","4,361",Canada (Nunavut)
69,Bolshevik Island,"11,206","4,327",Russia (Krasnoyarsk Krai)
70,Jamaica,"11,190","4,320",Jamaica
71,Bylot Island,"11,067[7]","4,273",Canada (Nunavut)
72,Sumba,"10,711","4,136",Indonesia (East Nusa Tenggara)
73,Mindoro,"10,572","4,082",Philippines (MIMAROPA)
74,Viti Levu,"10,531","4,066",Fiji (Central Division and Western Division)
75,Hawaiʻi (Big Island),"10,434","4,029",United States (Hawaii)
76,Cape Breton Island,"10,311[7]","3,981",Canada (Nova Scotia)

